Product,Organic,Unit,Label,COO,Sales Order,Invoice #,Invoice Payment Status,Most Recent Invoice Paid Date,Sale Location,Sales Rep,Reqs. Date,Customer,Lot,Vendor,Source,Received Date,Use By Date,Pack Date,Lot Location,Quantity,Cost per Unit,Price per Unit,Total Cost,Total Sold Lot Expenses,Total Revenue,Total Profit $,Total Profit %,Oficina
Avocado Hass,False,48 Ct,Frutto Foods Texas Llc,MX,3138399.0,301.0,Paid,2024-07-09,Frutto Foods Texas LLC,Adan Guerrero,12/05/2023,MorFresh Produce,297-AVO-1,"Mega Produce, LLC.",PO #297,12/21/2023,,,Frutto Foods Texas LLC,80.0,16.0,17.95,1280.0,0.01,1436.0,155.99,10.86,Texas
Bell Pepper Green,False,1 1/9 Bua,Fresh,MX,5222225.0,2416.0,Paid,2025-06-17,Frutto Foods Texas LLC,Diego Ipema,05/06/2025,G.V.S LLC,10445-BEL-2,"SL Produce, LLC.",PO #10445,05/12/2025,,,Frutto Foods Texas LLC,1456.0,7.0,9.5,10192.0,0.0,13832.0,3640.0,26.32,Texas
Bell Pepper Green CH MED,False,25 Lb,Fresh,MX,2796161.0,100.0,Paid,2023-12-11,Frutto Foods Texas LLC,Diego Ipema,08/31/2023,"Grow-All Procurement, LLC.",8-BEL-1,"SL Produce, LLC.",PO #8,09/07/2023,,,Frutto Foods Texas LLC,168.0,5.0,3.0,840.0,0.0,504.0,-336.0,-66.67,Texas
Bell Pepper Green CH MED,False,25 Lb,Fresh,MX,3200275.0,324.0,Paid,2024-01-29,Frutto Foods Texas LLC,Diego Ipema,12/21/2023,Keith Connell Inc.,321-BEL-1,"SL Produce, LLC.",PO #321,12/27/2023,,,Frutto Foods Texas LLC,168.0,10.0,12.0,1680.0,0.0,2016.0,336.0,16.67,Texas
Bell Pepper Green CH MED,False,25 Lb,Fresh,MX,3232702.0,501.0,Paid,2024-02-02,Frutto Foods Texas LLC,Diego Ipema,01/02/2024,Keith Connell Inc.,339-BEL-1,"SL Produce, LLC.",PO #339,01/03/2024,,,Frutto Foods Texas LLC,56.0,13.0,15.0,728.0,0.0,840.0,112.0,13.33,Texas
Bell Pepper Green CH MED,False,25 Lb,Fresh,MX,3254300.0,530.0,Paid,2024-02-13,Frutto Foods Texas LLC,Diego Ipema,01/08/2024,Keith Connell Inc.,368-BEL-1,"SL Produce, LLC.",PO #368,01/18/2024,,,Frutto Foods Texas LLC,280.0,16.0,17.5,4480.0,0.0,4900.0,420.0,8.57,Texas
Bell Pepper Green CH MED,False,25 Lb,Fresh,MX,3306493.0,569.0,Paid,2024-03-06,Frutto Foods Texas LLC,Diego Ipema,01/23/2024,Keith Connell Inc.,411-BEL-2,"SL Produce, LLC.",PO #411,01/29/2024,,,Frutto Foods Texas LLC,46.0,9.5,10.95,437.0,0.0,503.7,66.7,13.24,Texas
Bell Pepper Green CH MED,False,25 Lb,Fresh,MX,3490147.0,674.0,Paid,2025-04-15,Nogales Vendor,Diego Ipema,03/13/2024,Keith Connell Inc.,512-BEL-1,"SL Produce, LLC.",PO #512,03/15/2024,,,Frutto Foods Texas LLC,280.0,11.0,14.6,3080.0,0.0,4088.0,1008.0,24.66,Texas
Bell Pepper Green CH MED,False,25 Lb,Fresh,MX,3688897.0,794.0,Paid,2024-05-31,Nogales Vendor,Diego Ipema,04/30/2024,Richard E. Ryan & Associates Ltd.,645-BEL-2,"SL Produce, LLC.",PO #645,05/03/2024,,,Nogales Vendor,345.0,6.5,7.25,2242.5,0.0,2501.25,258.75,10.34,Texas
Bell Pepper Green CH MED,False,25 Lb,Fresh,MX,3772673.0,849.0,Paid,2024-07-01,Nogales Vendor,Diego Ipema,05/20/2024,Produce Connection,705-BEL-2,"SL Produce, LLC.",PO #705,05/22/2024,,,Nogales Vendor,112.0,5.0,6.0,560.0,0.0,672.0,112.0,16.67,Texas
Bell Pepper Green CH MED,False,25 Lb,Fresh,MX,3777494.0,854.0,Paid,2024-06-14,Nogales Vendor,Diego Ipema,05/21/2024,Richard E. Ryan & Associates Ltd.,710-BEL-1,"SL Produce, LLC.",PO #710,06/04/2024,,,Nogales Vendor,1176.0,0.5,1.0,588.0,0.0,1176.0,588.0,50.0,Texas
Bell Pepper Green CH MED,False,25 Lb,Fresh,MX,4154589.0,982.0,Paid,2024-09-23,Nogales Vendor,Diego Ipema,08/19/2024,Keith Connell Inc.,840-BEL-1,"SL Produce, LLC.",PO #840,08/21/2024,,,Nogales Vendor,112.0,9.75,11.0,1092.0,0.0,1232.0,140.0,11.36,Texas
Bell Pepper Green CH MED,False,25 Lb,Fresh,MX,4223405.0,1016.0,Paid,2024-10-23,Frutto Foods Texas LLC,Cristian Valdez,09/04/2024,Produce Connection,876-BEL-2,Traveler Produce LLC,PO #876,09/16/2024,,,Frutto Foods Texas LLC,56.0,13.95,15.95,781.2,0.0,893.2,112.0,12.54,Texas
Bell Pepper Green CH MED,False,25 Lb,Fresh,MX,4237009.0,1022.0,Paid,2024-10-28,Frutto Foods Texas LLC,Cristian Valdez,09/07/2024,Produce Connection,883-BEL-1,Jaybird Produce,PO #883,09/13/2024,,,Frutto Foods Texas LLC,283.0,13.0,15.0,3679.0,0.0,4245.0,566.0,13.33,Texas
Bell Pepper Green CH MED,False,25 Lb,Fresh,MX,5108088.0,2325.0,Paid,2025-04-28,Frutto Foods Texas LLC,Cristian Valdez,04/10/2025,"Harvest Best, Inc",10354-BEL-1,"Lakeway Foods, LLC.",PO #10354,04/11/2025,,,Frutto Foods Texas LLC,112.0,9.95,11.95,1114.4,0.0,1338.4,224.0,16.74,Texas
Bell Pepper Green CH MED,False,25 Lb,Fresh,MX,5114188.0,2330.0,Paid,2025-05-20,Frutto Foods Texas LLC,Cristian Valdez,04/11/2025,"Harvest Best, Inc",10359-BEL-1,"Lakeway Foods, LLC.",PO #10359,04/16/2025,,,Frutto Foods Texas LLC,100.0,9.95,11.95,995.0,0.0,1195.0,200.0,16.74,Texas
Bell Pepper Green CH MED,False,25 Lb,Fresh,MX,5252913.0,2441.0,Paid,2025-06-17,Nogales Vendor,Diego Ipema,05/13/2025,Keith Connell Inc.,10472-BEL-3,"SL Produce, LLC.",PO #10472,05/16/2025,,,Nogales Vendor,336.0,9.0,10.0,3024.0,0.0,3360.0,336.0,10.0,Texas
Bell Pepper Green Ch,False,1 1/9 Bua,Fresh,MX,2825291.0,117.0,Paid,2023-11-09,Frutto Foods Texas LLC,Gaston Becerril,09/09/2023,Om Produce,114-BEL-1,"Lakeway Foods, LLC.",PO #114,12/12/2023,,,Frutto Foods Texas LLC,49.0,4.95,9.95,242.55,0.0,487.55,245.0,50.25,Texas
Bell Pepper Green Ch,False,1 1/9 Bua,Fresh,MX,2832898.0,119.0,Paid,2023-11-20,Frutto Foods Texas LLC,Gaston Becerril,09/11/2023,"Martinez Fresh Produce, LLC.",114-BEL-1,"Lakeway Foods, LLC.",PO #114,12/12/2023,,,Frutto Foods Texas LLC,63.0,4.95,3.7777,311.85,0.0,238.0,-73.85,-31.03,Texas
Bell Pepper Green Ch,False,1 1/9 Bua,Fresh,MX,3310174.0,575.0,Paid,2024-03-04,Frutto Foods Texas LLC,Diego Ipema,01/24/2024,Keith Connell Inc.,416-BEL-1,"SL Produce, LLC.",PO #416,01/29/2024,,,Frutto Foods Texas LLC,168.0,7.0,8.0,1176.0,0.0,1344.0,168.0,12.5,Texas
Bell Pepper Green Ch,False,1 1/9 Bua,Fresh,MX,3640915.0,771.0,Paid,2024-05-08,Nogales Vendor,Valeria Durazo,04/10/2024,"All Service Distributors, Ltd",604-BEL-1,Agriferg Produce LLC,PO #604,04/19/2024,,,Nogales Vendor,280.0,6.25,6.95,1750.0,0.0,1946.0,196.0,10.07,Texas
Bell Pepper Green Ch,False,1 1/9 Bua,Fresh,MX,4802634.0,2064.0,Paid,2025-04-25,Frutto Foods Texas LLC,Diego Ipema,01/27/2025,Midwest Best Produce,10084-BEL-2,"SL Produce, LLC.",PO #10084,01/29/2025,,,Frutto Foods Texas LLC,56.0,6.0,7.0,336.0,0.0,392.0,56.0,14.29,Texas
Bell Pepper Green Ch,False,1 1/9 Bua,Fresh,MX,4829768.0,2083.0,Paid,,Frutto Foods Texas LLC,Diego Ipema,02/03/2025,National Produce Marketing Inc.,10103-BEL-1,"SL Produce, LLC.",PO #10103,03/11/2025,,,McAllen Vendor,728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Texas
Bell Pepper Green Ch,False,1 1/9 Bua,Generic Label,US,2970006.0,189.0,Paid,2023-12-13,Frutto Foods Texas LLC,Gaston Becerril,10/17/2023,"SL Produce, LLC.",185-BEL-1,Frank Donio Inc.,PO #185,12/07/2023,,,Frutto Foods Texas LLC,1232.0,15.75,17.75,19404.0,0.0,21868.0,2464.0,11.27,Texas
Bell Pepper Green Ch,False,1 1/9 Bua,Generic Label,MX,3035124.0,240.0,Paid,2023-12-13,Frutto Foods Texas LLC,Gaston Becerril,11/03/2023,"SL Produce, LLC.",235-BEL-1,"Mexfresh Produce (A d/b/a of Tom-Ver, LLC.)",PO #235,11/06/2023,,,Frutto Foods Texas LLC,672.0,13.5,15.0,9072.0,0.0,10080.0,1008.0,10.0,Texas
Bell Pepper Green Ch,False,1 1/9 Bua,Generic Label,MX,5153186.0,2359.0,Paid,2025-05-16,Frutto Foods Texas LLC,Diego Ipema,04/21/2025,Om Produce,10387-BEL-2,"Harvest Best, Inc.",PO #10387,05/02/2025,,,McAllen Vendor,56.0,9.0,10.95,504.0,0.0,613.2,109.2,17.81,Texas
Bell Pepper Green Ch,True,25 Lb Box,Fresh,MX,3480842.0,666.0,Paid,2024-04-08,Nogales Vendor,Diego Ipema,03/11/2024,Pro Organics,504-BEL-1,Agriferg Produce LLC,PO #504,03/12/2024,,,Frutto Foods Texas LLC,56.0,12.0,14.95,672.0,14.0,837.2,151.2,18.06,Texas
Bell Pepper Green Ch,True,25 Lb Box,Fresh,MX,3537594.0,706.0,Paid,2024-04-26,Nogales Vendor,Diego Ipema,03/25/2024,Pro Organics,550-BEL-1,Agriferg Produce LLC,PO #550,03/27/2024,,,Nogales Vendor,42.0,14.0,16.0,588.0,0.0,672.0,84.0,12.5,Texas
Bell Pepper Green Choice Large,False,25 Lb Box,Fresh,MX,2796161.0,100.0,Paid,2023-12-11,Frutto Foods Texas LLC,Diego Ipema,08/31/2023,"Grow-All Procurement, LLC.",8-BEL-2,"SL Produce, LLC.",PO #8,09/07/2023,,,Frutto Foods Texas LLC,168.0,7.0,3.0,1176.0,0.0,504.0,-672.0,-133.33,Texas
Bell Pepper Green Choice Large,False,25 Lb Box,Fresh,MX,3117469.0,287.0,Paid,2024-01-08,Frutto Foods Texas LLC,Diego Ipema,11/28/2023,"Grow-All Procurement, LLC.",BEL-000033,"SL Produce, LLC.",PO #281,11/29/2023,,,Frutto Foods Texas LLC,56.0,13.0,14.5,728.0,0.0,812.0,84.0,10.34,Texas
Bell Pepper Green Choice Large,False,25 Lb Box,Fresh,MX,3137002.0,298.0,Paid,2024-07-11,Frutto Foods Texas LLC,Diego Ipema,12/04/2023,"Fresh-Link Produce, LLC.",294-BEL-1,"SL Produce, LLC.",PO #294,12/05/2023,,,Frutto Foods Texas LLC,112.0,10.0,12.0,1120.0,0.0,1344.0,224.0,16.67,Texas
Bell Pepper Green Choice Large,False,25 Lb Box,Fresh,MX,3232702.0,501.0,Paid,2024-02-02,Frutto Foods Texas LLC,Diego Ipema,01/02/2024,Keith Connell Inc.,339-BEL-2,"SL Produce, LLC.",PO #339,01/03/2024,,,Frutto Foods Texas LLC,112.0,14.0,16.0,1568.0,0.0,1792.0,224.0,12.5,Texas
Bell Pepper Green Choice Large,False,25 Lb Box,Fresh,MX,3306493.0,569.0,Paid,2024-03-06,Frutto Foods Texas LLC,Diego Ipema,01/23/2024,Keith Connell Inc.,411-BEL-3,"SL Produce, LLC.",PO #411,01/29/2024,,,Frutto Foods Texas LLC,18.0,9.5,10.95,171.0,0.0,197.1,26.1,13.24,Texas
Bell Pepper Green Choice Large,False,25 Lb Box,Fresh,MX,3688897.0,794.0,Paid,2024-05-31,Nogales Vendor,Diego Ipema,04/30/2024,Richard E. Ryan & Associates Ltd.,645-BEL-4,"SL Produce, LLC.",PO #645,05/03/2024,,,Nogales Vendor,17.0,8.5,9.25,144.5,0.0,157.25,12.75,8.11,Texas
Bell Pepper Green Choice Large,False,25 Lb Box,Fresh,MX,3693729.0,800.0,Paid,2024-05-28,Nogales Vendor,Diego Ipema,05/01/2024,"Grow-All Procurement, LLC.",652-BEL-1,"SL Produce, LLC.",PO #652,05/03/2024,,,Nogales Vendor,56.0,8.0,9.0,448.0,0.0,504.0,56.0,11.11,Texas
Bell Pepper Green Choice Large,False,25 Lb Box,Fresh,MX,3712843.0,812.0,Paid,2024-06-05,Nogales Vendor,Diego Ipema,05/06/2024,Keith Connell Inc.,664-BEL-1,"SL Produce, LLC.",PO #664,05/14/2024,,,Nogales Vendor,1568.0,6.0,7.0,9408.0,0.0,10976.0,1568.0,14.29,Texas
Bell Pepper Green Choice Large,False,25 Lb Box,Fresh,MX,3752559.0,839.0,Paid,2024-06-14,Nogales Vendor,Johnny Najar,05/15/2024,Richard E. Ryan & Associates Ltd.,694-BEL-1,"SL Produce, LLC.",PO #694,05/17/2024,,,Nogales Vendor,672.0,1.5,2.5,1008.0,0.0,1680.0,672.0,40.0,Texas
Bell Pepper Green Choice Large,False,25 Lb Box,Fresh,MX,3869902.0,890.0,Paid,2024-07-20,Nogales Vendor,Diego Ipema,06/12/2024,Keith Connell Inc.,741-BEL-1,"SL Produce, LLC.",PO #741,06/17/2024,,,Nogales Vendor,112.0,27.0,28.0,3024.0,0.0,3136.0,112.0,3.57,Texas
Bell Pepper Green Choice Large,False,25 Lb Box,Fresh,MX,4154589.0,982.0,Paid,2024-09-23,Nogales Vendor,Diego Ipema,08/19/2024,Keith Connell Inc.,840-BEL-2,"SL Produce, LLC.",PO #840,08/21/2024,,,Nogales Vendor,112.0,10.65,12.0,1192.8,0.0,1344.0,151.2,11.25,Texas
Bell Pepper Green Choice Large,False,25 Lb Box,Fresh,MX,5252913.0,2441.0,Paid,2025-06-17,Nogales Vendor,Diego Ipema,05/13/2025,Keith Connell Inc.,10472-BEL-1,"SL Produce, LLC.",PO #10472,05/16/2025,,,Nogales Vendor,56.0,10.0,11.0,560.0,0.0,616.0,56.0,9.09,Texas
Bell Pepper Green Choice Large,False,25 Lb Box,Fresh,MX,5253532.0,2447.0,Paid,2025-06-17,Frutto Foods Texas LLC,Diego Ipema,05/13/2025,Keith Connell Inc.,10478-BEL-1,"SL Produce, LLC.",PO #10478,05/16/2025,,,Frutto Foods Texas LLC,112.0,9.5,11.0,1064.0,0.0,1232.0,168.0,13.64,Texas
Bell Pepper Green Choice Large,False,25 Lb Box,"Frutto Foods, Llc",MX,2941874.0,179.0,Paid,2024-01-04,Frutto Foods Texas LLC,Gaston Becerril,10/10/2023,The Produce Exchange Inc,176-BEL-1,"SL Produce, LLC.",PO #176,10/11/2023,,,Frutto Foods Texas LLC,560.0,11.5,11.5,6440.0,0.0,6440.0,0.0,0.0,Texas
Bell Pepper Green Choice XL,False,1 1/9 Bua,Fresh,MX,2877226.0,143.0,Paid,2023-10-24,Frutto Foods Texas LLC,Diego Ipema,09/22/2023,Keith Connell Inc.,140-BEL-1,"SL Produce, LLC.",PO #140,09/25/2023,,,Frutto Foods Texas LLC,38.0,9.0,10.5,342.0,0.0,399.0,57.0,14.29,Texas
Bell Pepper Green Choice XL,False,1 1/9 Bua,Fresh,MX,3238600.0,509.0,Paid,2024-01-18,Frutto Foods Texas LLC,Diego Ipema,01/03/2024,The Produce Exchange Inc,348-BEL-1,"SL Produce, LLC.",PO #348,01/10/2024,,,Frutto Foods Texas LLC,112.0,19.0,21.0,2128.0,0.0,2352.0,224.0,9.52,Texas
Bell Pepper Green Choice XL,False,1 1/9 Bua,Fresh,MX,3306493.0,569.0,Paid,2024-03-06,Frutto Foods Texas LLC,Diego Ipema,01/23/2024,Keith Connell Inc.,411-BEL-4,"SL Produce, LLC.",PO #411,01/29/2024,,,Frutto Foods Texas LLC,48.0,9.5,10.95,456.0,0.0,525.6,69.6,13.24,Texas
Bell Pepper Green Choice XL,False,1 1/9 Bua,Fresh,MX,3395250.0,617.0,Paid,2024-04-03,Frutto Foods Texas LLC,Diego Ipema,02/16/2024,Keith Connell Inc.,458-BEL-1,"SL Produce, LLC.",PO #458,02/20/2024,,,Frutto Foods Texas LLC,224.0,17.0,19.2,3808.0,0.0,4300.8,492.8,11.46,Texas
Bell Pepper Green Choice XL,False,1 1/9 Bua,Fresh,MX,3400210.0,621.0,Paid,2024-03-27,Frutto Foods Texas LLC,Diego Ipema,02/19/2024,Keith Connell Inc.,462-BEL-1,"SL Produce, LLC.",PO #462,02/22/2024,,,Frutto Foods Texas LLC,112.0,14.2,16.0,1590.4,0.0,1792.0,201.6,11.25,Texas
Bell Pepper Green Choice XL,False,1 1/9 Bua,Fresh,MX,3406731.0,622.0,Paid,2024-03-26,Frutto Foods Texas LLC,Diego Ipema,02/20/2024,"Grow-All Procurement, LLC.",463-BEL-1,"SL Produce, LLC.",PO #463,02/22/2024,,,Frutto Foods Texas LLC,168.0,13.5,15.5,2268.0,0.0,2604.0,336.0,12.9,Texas
Bell Pepper Green Choice XL,False,1 1/9 Bua,Fresh,MX,3594059.0,741.0,Paid,2024-05-02,Frutto Foods Texas LLC,Diego Ipema,04/08/2024,National Produce Marketing Inc.,591-BEL-2,"SL Produce, LLC.",PO #591,04/16/2024,,,Nogales Vendor,896.0,8.5,10.5,7616.0,0.0,9408.0,1792.0,19.05,Texas
Bell Pepper Green Choice XL,False,1 1/9 Bua,Fresh,MX,3625468.0,763.0,Paid,2024-05-15,Frutto Foods Texas LLC,Diego Ipema,04/15/2024,"Sunterra Produce Traders East, LLC.",614-BEL-2,"SL Produce, LLC.",PO #614,04/17/2024,,,Nogales Vendor,168.0,7.0,8.0,1176.0,0.0,1344.0,168.0,12.5,Texas
Bell Pepper Green Choice XL,False,1 1/9 Bua,Fresh,MX,3625518.0,766.0,Paid,2024-05-15,Frutto Foods Texas LLC,Diego Ipema,04/15/2024,"Sunterra Produce Traders East, LLC.",617-BEL-1,"SL Produce, LLC.",PO #617,04/17/2024,,,Nogales Vendor,280.0,7.0,8.0,1960.0,0.0,2240.0,280.0,12.5,Texas
Bell Pepper Green Choice XL,False,1 1/9 Bua,Fresh,MX,3660663.0,779.0,Paid,2024-05-31,Frutto Foods Texas LLC,Diego Ipema,04/23/2024,"Terra Bella Farms, LLC.",630-BEL-1,"SL Produce, LLC.",PO #630,04/29/2024,,,Nogales Vendor,672.0,5.0,6.25,3360.0,0.0,4200.0,840.0,20.0,Texas
Bell Pepper Green Choice XL,False,1 1/9 Bua,Fresh,MX,3688897.0,794.0,Paid,2024-05-31,Nogales Vendor,Diego Ipema,04/30/2024,Richard E. Ryan & Associates Ltd.,645-BEL-3,"SL Produce, LLC.",PO #645,05/03/2024,,,Nogales Vendor,30.0,8.5,9.25,255.0,0.0,277.5,22.5,8.11,Texas
Bell Pepper Green Choice XL,False,1 1/9 Bua,Fresh,MX,3763199.0,845.0,Paid,2024-07-01,Nogales Vendor,Diego Ipema,05/17/2024,Produce Connection,701-BEL-1,"SL Produce, LLC.",PO #701,05/22/2024,,,Nogales Vendor,224.0,7.0,8.0,1568.0,0.0,1792.0,224.0,12.5,Texas
Bell Pepper Green Choice XL,False,1 1/9 Bua,Fresh,MX,3766426.0,847.0,Paid,2024-06-21,Nogales Vendor,Diego Ipema,05/20/2024,"Terra Bella Farms, LLC.",703-BEL-1,"SL Produce, LLC.",PO #703,05/22/2024,,,Nogales Vendor,1568.0,0.5,1.0,784.0,0.0,1568.0,784.0,50.0,Texas
Bell Pepper Green Choice XL,False,1 1/9 Bua,Fresh,MX,3781672.0,856.0,Paid,2024-07-02,Frutto Foods Texas LLC,Diego Ipema,05/22/2024,Produce Connection,712-BEL-1,"SL Produce, LLC.",PO #712,05/28/2024,,,Nogales Vendor,56.0,7.0,8.0,392.0,0.0,448.0,56.0,12.5,Texas
Bell Pepper Green Choice XL,False,1 1/9 Bua,Fresh,MX,4154589.0,982.0,Paid,2024-09-23,Nogales Vendor,Diego Ipema,08/19/2024,Keith Connell Inc.,840-BEL-4,"SL Produce, LLC.",PO #840,08/21/2024,,,Nogales Vendor,112.0,10.65,12.0,1192.8,0.0,1344.0,151.2,11.25,Texas
